rank,lemma,gloss,kind,ref_count,ref_coverage
83,δίδωμι,to give,L,788,59.86
84,εἷς,one,,786,60.03
85,οἴομαι,"to suppose, think, deem, imagine",L,755,60.19
86,τῇ,"here, there",F,743,60.35
87,βούλομαι,"to will, wish, be willing",L,709,60.5
88,ὥστε,so that,F,703,60.65
89,ἀγαθός,good,L,684,60.8
90,δύναμαι,"to be able, capable, strong enough",L,680,60.94
91,ὅσος,as much/many as,F,675,61.09
92,ἡμέρα,day,L,674,61.23
93,δίκαιος,"just, observant of custom, correct, balanced",L,657,61.37
94,πατήρ,a father,L,657,61.51
95,κύριος2,"a lord, master",L,642,61.65
96,πρῶτος,first,,637,61.78
97,κακός,bad,L,624,61.92
98,εἶμι,"come, go",L,586,62.04
99,οἷος,(such a kind) as; for οἷός τε see οἷος III.2,F,573,62.16
100,ἄρχω,"(to be first) to rule, to begin",L,568,62.28
101,κύριος,having power,L,550,62.4
102,ἕκαστος,"every, every one, each, each one",F,540,62.52
103,ὥσπερ,"just as if, even as",F,538,62.63
104,μᾶλλον,"more, rather",,530,62.74
105,ἐθέλω,"to will, wish, purpose",L,510,62.85
106,πράσσω,"do, (w. adv) fare, (mid.) charge payment",L,504,62.96
107,ὑπέρ,"over, above, w. gen, over, beyond, w. acc.",F,501,63.07
108,μόνος,"alone, left alone, forsaken solitary",,500,63.17
109,νόμος,"usage, custom, law, ordinance",L,500,63.28
110,πως,"somehow, in some way",F,499,63.39
111,ἡγέομαι,"to lead; to consider, believe",L,496,63.49
112,ἔτι,"yet, as yet, still, besides",,496,63.6
113,γυνή,a woman,L,490,63.7
114,νομός,"place of pasture; district (nome), esp. in Egypt",L,488,63.81
115,πῶς,how? in what way,F,479,63.91
116,ὅστις,indef. relative or indirect interrogative,F,469,64.01
117,τότε,"at that time, then",F,466,64.11
118,ἕτερος,the one; the other (of two),,463,64.21
119,σός,your,F,462,64.31
120,πείθω,"to prevail upon, win over, persuade",L,461,64.4
121,ἔργον,work,L,459,64.5
122,βασιλεύς,"a king, chief",L,446,64.6
123,γιγνώσκω,"to learn to know, to perceive, mark, learn",L,445,64.69
124,ἀδελφός,sons of the same mother,L,442,64.79
125,μηδείς,"(and not one); not one, no-one",F,441,64.88
126,υἱός,a son,L,437,64.97
127,ἅπας,"quite all, the whole",,432,65.07
128,καλέω,"to call, summon",L,431,65.16
129,παῖς,a child,L,428,65.25
130,τοτέ,"at times, now and then",,427,65.34
131,ἀληθής,"unconcealed, true",L,427,65.43
132,φαίνω,"to bring to light, make to appear",L,427,65.52
133,ἤδη,already,,419,65.61
134,εἶδον,to see,L,412,65.7
135,ἀλλήλων,"of one another, to one another, one another",,412,65.79
136,γῆ,earth,L,411,65.88
137,ἀδικέω,to do wrong,L,408,65.96
138,χρόνος,time,L,404,66.05
139,ἀποθνῄσκω,"to die, be killed",L,404,66.13
140,μέλλω,"to think of doing, intend to do, to be about to do",L,400,66.22
141,ὅδε,this,F,399,66.3
142,ὄνομα,name,L,392,66.39
143,πολέμιος,hostile; enemy,L,390,66.47
144,πνεῦμα,a blowing,L,388,66.55
145,πορεύω,"to make to go, carry, convey",L,388,66.64
146,ψυχή,"breath, soul",L,388,66.72
147,ἄρα,particle: 'so',,377,66.8
148,φίλος,"friend; loved, beloved, dear",L,373,66.88
149,ὅταν,"when, whenever",,366,66.96
150,νομίζω,to have as a custom; to believe,L,364,67.04
151,ἀποκρίνω,"to separate, set apart; mid. answer",L,362,67.11
152,σφεῖς,personal and (ind.) reflexive pronoun,,360,67.19
153,σῶμα,the body,L,357,67.27
154,μάλιστα,most,,354,67.34
155,τυγχάνω,"(with gen.) to hit the mark, to get; (with pple) to happen to, to actually",L,354,67.42
156,ἄγω,to lead,L,353,67.49
